Fund,Fund Description,Fund ID,Department ID,Department,Short Title,Expense Line,Link to Website,Department Description,Control Officer,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Appropriations 2015,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,Expenditures 2013,Expenditures 2014
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,1,County Clerk,County Clerk,Salaries & Benefits,http://macoupincountyil.gov/county_clerk.htm,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",County Clerk,175685.00,185212.00,197064.00,204975.00,240806.00,265114.00,291110.00,296970.00,311852.00,323750.00,308723.00,313882.00,308900.00,285687.00,273559.00,257900.00,287608.00,310013.00,330276.10,264092.69,277490.00,175368.00,183826.00,197064.00,200995.00,235594.00,260646.00,290518.00,296970.00,311825.00,321326.00,308721.00,309560.00,297685.00,283806.00,273532.00,250863.00,287608.00,308432.00,329599.72,264089.76
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,1,County Clerk,County Clerk,Office Supplies,http://macoupincountyil.gov/county_clerk.htm,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",County Clerk,10954.00,4982.00,6186.00,7583.00,8000.00,8000.00,8000.00,7445.00,3225.00,4450.00,5770.00,6018.00,4900.00,5168.00,4697.00,3589.00,2272.00,1032.00,2580.32,2785.33,2800.00,10954.00,4982.00,4318.00,7583.00,5430.00,6194.00,2932.00,7445.00,3217.00,4449.00,5770.00,6018.00,4830.00,5168.00,4697.00,3444.00,2272.00,1032.00,2500.36,2782.16
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,1,County Clerk,County Clerk,Postage,http://macoupincountyil.gov/county_clerk.htm,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",County Clerk,11965.00,9000.00,11010.00,8850.00,10067.00,18124.00,11883.00,8340.00,4520.00,3800.00,3691.00,5000.00,6700.00,10000.00,170.00,1700.00,1176.00,1985.00,268.00,20.95,100.00,11965.00,8236.00,11010.00,8850.00,10067.00,18124.00,11883.00,6396.00,4520.00,3782.00,3668.00,4814.00,6632.00,10000.00,170.00,1676.00,1176.00,1676.00,268.00,20.95
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,1,County Clerk,County Clerk,Travel,http://macoupincountyil.gov/county_clerk.htm,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",County Clerk,578.00,699.00,2000.00,1125.00,1500.00,1500.00,1500.00,1500.00,1213.00,1550.00,1500.00,1400.00,1500.00,1802.00,517.00,500.00,265.00,289.00,40.00,305.00,300.00,578.00,606.00,819.00,1125.00,702.00,1128.00,313.00,0.00,1213.00,1349.00,1484.00,1333.00,1494.00,1802.00,517.00,305.00,265.00,289.00,40.00,305.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,1,County Clerk,County Clerk,Telephone,http://macoupincountyil.gov/county_clerk.htm,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",County Clerk,2989.00,4008.00,4837.00,4500.00,5318.00,6224.00,6300.00,7072.00,4661.00,5600.00,7286.00,5950.00,5500.00,5448.00,4857.00,4650.00,6289.00,4719.00,3324.32,3707.88,3700.00,2989.00,4008.00,4837.00,4349.00,5318.00,5852.00,5533.00,6165.00,4661.00,5552.00,7286.00,5822.00,5337.00,4723.00,4857.00,4616.00,6289.00,4616.00,3324.32,3707.88
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,1,County Clerk,County Clerk,Insurance,http://macoupincountyil.gov/county_clerk.htm,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",County Clerk,413.00,86.00,54.00,500.00,500.00,500.00,500.00,500.00,362.00,200.00,226.00,200.00,800.00,218.00,30.00,100.00,22.00,0.00,20.00,0.00,10.00,413.00,86.00,54.00,0.00,369.00,50.00,21.00,40.00,362.00,16.00,226.00,114.00,795.00,0.00,30.00,0.00,22.00,0.00,20.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,1,County Clerk,County Clerk,Miscellaneous,http://macoupincountyil.gov/county_clerk.htm,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",County Clerk,2921.00,6169.00,4722.00,5170.00,1421.00,1360.00,5000.00,5000.00,2194.00,5640.00,2504.00,2450.00,6020.00,15766.00,4159.00,650.00,2218.00,0.00,63.30,3046.35,4200.00,2889.00,6140.00,2031.00,5170.00,1421.00,558.00,1048.00,657.00,2194.00,5578.00,2440.00,2407.00,5994.00,15270.00,4159.00,962.00,3453.00,0.00,63.30,3046.35
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,1,County Clerk,County Clerk,Equipment,http://macoupincountyil.gov/county_clerk.htm,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",County Clerk,18.00,1490.00,1000.00,3091.00,1539.00,5000.00,5000.00,10000.00,0.00,5010.00,20297.00,15100.00,3280.00,6760.00,3157.00,3500.00,1176.00,1553.00,5885.10,2431.03,2400.00,18.00,1490.00,981.00,0.00,234.00,0.00,0.00,1212.00,0.00,4955.00,20298.00,14723.00,2396.00,6419.00,3157.00,3463.00,1176.00,1553.00,5885.10,2431.03
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,1,County Clerk,County Clerk,System Updates and Programming,http://macoupincountyil.gov/county_clerk.htm,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",County Clerk,10796.00,9902.00,5807.00,10180.00,14655.00,2516.00,7117.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4000.00,3988.00,5648.00,6098.86,19360.77,17000.00,10796.00,9902.00,4960.00,10180.00,14655.00,222.00,162.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3634.00,3988.00,5648.00,6098.86,19360.77
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,2,County Treasurer,County Treasurer,Salaries & Benefits,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",County Treasurer,107715.00,121215.00,129015.00,130664.00,144364.00,151219.00,155080.00,155735.00,157704.00,169910.00,174175.00,182525.00,161942.00,155873.00,142426.00,144284.00,162294.00,169105.00,162964.35,143604.54,150000.00,107501.00,118039.00,124596.00,127114.00,139176.00,144949.00,152297.00,147973.00,157694.00,169544.00,172436.00,180520.00,161942.00,155873.00,142426.00,144284.00,162294.00,169105.00,162834.98,143604.54
